filename,basename,toolid,toolmode,parser_version,runid,start,duration,exit_code,findings,infos,errors,fails
extracted-contracts/contracts/chains/base/DefiPilotProtectorV3.sol,DefiPilotProtectorV3.sol,conkas,solidity,2022/11/11,20250512_0838,1747039095.396678,1.2602369785308838,1,{},{},"{EXIT_CODE_1,solcx.exceptions.SolcError: An error occurred during execution}",{exception (solcx.exceptions.SolcError: An error occurred during execution)}
extracted-contracts/contracts/chains/base/DefiPilotProtectorV3.sol,DefiPilotProtectorV3.sol,smartcheck,solidity,2022/11/14,20250512_0838,1747039095.382337,3.557677984237671,0,"{SOLIDITY_ADDRESS_HARDCODED,SOLIDITY_PRAGMAS_VERSION,SOLIDITY_VISIBILITY}",{},{},{}
extracted-contracts/contracts/chains/base/DefiPilotProtectorV3.sol,DefiPilotProtectorV3.sol,solhint-3.3.8,solidity,2023/02/12,20250512_0838,1747039095.3930812,1.4248168468475342,1,"{compiler_version,func_visibility,var_name_mixedcase}",{},{EXIT_CODE_1},{}
extracted-contracts/contracts/chains/base/DefiPilotProtectorV3.sol,DefiPilotProtectorV3.sol,slither-0.10.4,solidity,0.10.4,0,0,0,0,"{cache-array-length,calls-loop,dead-code,divide-before-multiply,events-access,immutable-states,incorrect-equality,low-level-calls,missing-zero-check,naming-convention,pragma,reentrancy-benign,reentrancy-no-eth,shadowing-local,solc-version,timestamp,unchecked-transfer,uninitialized-local,unused-return,weak-prng,write-after-write}",{},{},{}
